id,created_at,user_id,username,full_name,poste_label,category,action,entity_type,entity_id,entity_label,details
d634c6ae-0e4a-46fe-b03a-9b5b7a85c6e8,2026-06-22T14:32:19.358641+00:00,local-admin,admin,Administrateur,Poste local - admin.html,VENTE_MARGE,ACTIVATION,SALE_FORM,vente,Nouvelle vente - Case marge,"[{""after"":""Active"",""field"":""marge"",""label"":""Case Marge"",""before"":""Inactive""}]"
36eedba8-758d-4e70-9f2e-faa1a6995b1c,2026-06-22T14:32:19.467473+00:00,local-admin,admin,Administrateur,Poste local - admin.html,VENTE_MARGE,DESACTIVATION,SALE_FORM,vente,Nouvelle vente - Case marge,"[{""after"":""Inactive"",""field"":""marge"",""label"":""Case Marge"",""before"":""Active""}]"
e804461d-a34e-4554-9050-685463435c0a,2026-06-26T18:10:45.319939+00:00,user-1779795412431,zina,Zina,mvpara.fidsexcellence.tn,VENTE_MARGE,ACTIVATION,SALE_FORM,vente,Nouvelle vente - Case marge,"[{""after"":""Active"",""field"":""marge"",""label"":""Case Marge"",""before"":""Inactive""}]"
3fb38270-5fbe-471a-8430-f49929553082,2026-06-26T18:10:46.714704+00:00,user-1779795412431,zina,Zina,mvpara.fidsexcellence.tn,VENTE_MARGE,DESACTIVATION,SALE_FORM,vente,Nouvelle vente - Case marge,"[{""after"":""Inactive"",""field"":""marge"",""label"":""Case Marge"",""before"":""Active""}]"
41fb1c1c-56f3-443e-9907-d7aaef256b43,2026-06-27T00:22:08.401614+00:00,local-admin,admin,Administrateur,Poste local - admin.html,VENTE_MARGE,ACTIVATION,SALE_FORM,vente,Nouvelle vente - Case marge,"[{""after"":""Active"",""field"":""marge"",""label"":""Case Marge"",""before"":""Inactive""}]"
94fbbd6e-6c36-42bc-a6a7-e7f80db45727,2026-06-27T00:22:08.979145+00:00,local-admin,admin,Administrateur,Poste local - admin.html,VENTE_MARGE,DESACTIVATION,SALE_FORM,vente,Nouvelle vente - Case marge,"[{""after"":""Inactive"",""field"":""marge"",""label"":""Case Marge"",""before"":""Active""}]"
9084961a-9422-4c84-9cbf-da111233a846,2026-06-28T15:11:45.836373+00:00,local-admin,admin,Administrateur,Poste local - admin.html,VENTE_MARGE,ACTIVATION,SALE_FORM,vente,Nouvelle vente - Case marge,"[{""after"":""Active"",""field"":""marge"",""label"":""Case Marge"",""before"":""Inactive""}]"
d7b8769d-efe1-46d9-bb10-e7490a2af0f1,2026-06-28T15:11:45.881951+00:00,local-admin,admin,Administrateur,Poste local - admin.html,VENTE_MARGE,DESACTIVATION,SALE_FORM,vente,Nouvelle vente - Case marge,"[{""after"":""Inactive"",""field"":""marge"",""label"":""Case Marge"",""before"":""Active""}]"
312f33ec-de72-4ae8-9cf3-cbbbd93b395e,2026-07-01T12:58:37.495414+00:00,local-admin,admin,Administrateur,Poste local - admin.html,FICHE_ARTICLE,UPDATE,PRODUCT,d469ccab-7500-4436-99b2-2b364fc5e347,7830 3 CHENES  ACEROLA 3000MG,"[{""after"":""visage-lotion"",""field"":""web_category_slug"",""label"":""Categorie web"",""before"":""""}]"
b38bdfce-0a62-4d06-ac37-19c9f4815683,2026-07-01T12:58:47.712704+00:00,local-admin,admin,Administrateur,Poste local - admin.html,FICHE_ARTICLE,UPDATE,PRODUCT,d469ccab-7500-4436-99b2-2b364fc5e347,7830 3 CHENES  ACEROLA 3000MG,"[{""after"":""test"",""field"":""description_web"",""label"":""Description web"",""before"":""""}]"
