id,purchase_id,product_id,quantite,quantite_gratuite,prix_achat_ht,fodec_pct,remise,peremption,created_at,tva,prix_unitaire_ht
a0f804c4-41ad-4217-ab99-a6ee8bc46dd4,4db0094f-e884-4996-ade1-a18e77275691,4355603c-71aa-44a8-9d70-df1298b62e3b,2,0,67.109,0,0,,2026-06-14T23:39:35.138763+00:00,,
f5b734a1-4a63-46a0-999a-d1f58fa0d56c,4db0094f-e884-4996-ade1-a18e77275691,3abfbffc-7a92-4c2b-831d-044e9b2ae593,1,0,56,0,0,2030-01-01,2026-06-14T23:39:35.138763+00:00,,
419b914c-c4df-4ba8-9905-651f38093955,2b7ce449-b903-4527-b3ae-5a5410e23a4f,4355603c-71aa-44a8-9d70-df1298b62e3b,5,0,67.109,0,0,,2026-06-15T09:57:47.554934+00:00,,
fd436cda-7f03-44ff-be21-01c0911c47ca,2b7ce449-b903-4527-b3ae-5a5410e23a4f,3abfbffc-7a92-4c2b-831d-044e9b2ae593,2,0,56,0,0,2030-01-01,2026-06-15T09:57:47.554934+00:00,,
02df1f47-2cd2-47a8-a45a-c6fe11b39bea,102bde17-b235-45ac-b9fa-1e485aa54b22,81acc303-29a8-479d-b1ca-5fd7db8e31de,3,0,40.398,0,3,2028-12-01,2026-06-15T18:09:20.240875+00:00,,
c680c3a4-f2a1-4da0-8d73-20d8626cb6e6,102bde17-b235-45ac-b9fa-1e485aa54b22,933f65d0-0e65-477a-bee5-5b571be6570e,6,1,6.418,0,0,,2026-06-15T18:09:20.240875+00:00,,
d9930fec-1780-4198-8a14-34295dbc7cc1,102bde17-b235-45ac-b9fa-1e485aa54b22,078b3a16-ecac-4503-adeb-2d525421438f,2,0,19.19,0,3,,2026-06-15T18:09:20.240875+00:00,,
2c3b3421-c866-428b-9a60-29af6aed6959,1d0b67b7-4bfa-437e-aee5-f746f8ec09b9,4236b2fc-f24b-4a97-8a58-7752aaaf8258,2,0,10.323,0,0,,2026-06-15T18:10:19.920536+00:00,,
68ddb073-66e8-4d54-b485-f458e1ae0e53,e222f56d-0b9d-42be-b494-6201dcac10e6,3abfbffc-7a92-4c2b-831d-044e9b2ae593,1,0,56,0,0,2030-01-01,2026-06-15T22:05:28.271761+00:00,,
f381cded-587a-4507-8ff0-092f1f64360c,aca473d2-b4c4-47bc-bea8-2f0fc4482b44,cb7bc7f8-137d-43e1-a570-f628271d1790,1,0,39.215,0,0,,2026-06-16T14:55:17.800812+00:00,,
1b233add-affc-4271-8bb0-f229204da35d,aca473d2-b4c4-47bc-bea8-2f0fc4482b44,95b0ddc8-25ec-412f-aa8c-b2b5fb9074a5,2,0,79.054,0,0,,2026-06-16T14:55:17.800812+00:00,,
7dcf0916-35b3-41f0-8abf-85ad485c391f,aca473d2-b4c4-47bc-bea8-2f0fc4482b44,957fdbe7-6cad-49b9-8ba9-21221422c076,1,0,47,0,0,,2026-06-16T14:55:17.800812+00:00,,
3163c77e-b1a9-43bd-9acf-c229afd07a25,aca473d2-b4c4-47bc-bea8-2f0fc4482b44,bd42914f-dc7b-4937-b4b4-87649f1ccecb,2,0,24.09,0,0,2028-03-05,2026-06-16T14:55:17.800812+00:00,,
3ed13795-d3db-4437-9aa8-aceaea663db4,0faf9cc3-4d54-42c6-9f5f-ca2f0dd48f8e,3abfbffc-7a92-4c2b-831d-044e9b2ae593,1,0,56,0,0,2030-01-01,2026-06-21T18:09:27.818146+00:00,,
cc5f5e35-560c-456c-bd7e-591494b078c1,43332e28-cfeb-4104-9b4e-8210368307cc,3abfbffc-7a92-4c2b-831d-044e9b2ae593,1,0,56,0,0,2030-01-01,2026-06-21T20:24:50.575489+00:00,,
37f427e8-3553-4710-8a3f-4f734be7c3ce,43332e28-cfeb-4104-9b4e-8210368307cc,4724e07b-411a-4f1d-88a4-76ceb7c28cd2,1,0,10.59,0,0,,2026-06-21T20:24:50.575489+00:00,,
703e8f2b-02e4-4b57-9629-7f46e8640173,43332e28-cfeb-4104-9b4e-8210368307cc,c2896f93-f623-49fd-8fa9-e291caf8c5f1,2,0,12.504,0,0,,2026-06-21T20:24:50.575489+00:00,,
3b8d1775-b523-4e83-8e72-bde44655388c,9efd4219-2373-4d9e-863c-c6f533084714,4355603c-71aa-44a8-9d70-df1298b62e3b,1,0,67.109,0,0,,2026-06-25T23:00:57.837938+00:00,,
5b08030c-8b8d-45ce-9269-3f442e8095ac,5ca77e0c-94e5-4e6d-bc50-dc56342e7259,3abfbffc-7a92-4c2b-831d-044e9b2ae593,1,0,56,0,0,2030-01-01,2026-06-28T16:47:39.83687+00:00,,
0278c6ce-f136-4ee7-bd82-0e1e4409c86e,5ca77e0c-94e5-4e6d-bc50-dc56342e7259,c09d1a0b-8c92-4a86-9186-5f3a81d88425,1,0,18.739,0,0,,2026-06-28T16:47:39.83687+00:00,,
2195a217-7ff4-4794-b89a-a0695a44aded,46c70de7-69b3-4493-a87e-0b8ef2c25d5e,6c0fcfbb-87ec-45de-828f-e3e21f228439,1,0,100.84,0,0,,2026-06-28T17:58:44.162227+00:00,,
a3030e0f-4d9c-4a4c-a04e-ae81f8122bea,46c70de7-69b3-4493-a87e-0b8ef2c25d5e,3abfbffc-7a92-4c2b-831d-044e9b2ae593,1,0,56,0,0,2030-01-01,2026-06-28T17:58:44.162227+00:00,,
76fcf8f8-d890-440e-bc83-8fe4f0545a3d,83787da0-910c-42a9-8260-09e0eb99540a,3abfbffc-7a92-4c2b-831d-044e9b2ae593,1,0,56,0,0,2030-01-01,2026-06-30T17:15:00.978092+00:00,,
5d7e7911-0b62-42ca-91fa-9ad070787f9f,384d9906-a7b1-44fb-8e4a-c0aa5127ba55,4355603c-71aa-44a8-9d70-df1298b62e3b,1,0,67.109,0,0,,2026-07-01T20:44:32.675572+00:00,,
e2445eaf-e2e2-4842-919d-486771485896,384d9906-a7b1-44fb-8e4a-c0aa5127ba55,c09d1a0b-8c92-4a86-9186-5f3a81d88425,1,0,18.739,0,0,,2026-07-01T20:44:32.675572+00:00,,
0bdee88b-2284-42a5-b18f-3c8fdc779c2f,384d9906-a7b1-44fb-8e4a-c0aa5127ba55,,1,0,20,0,0,,2026-07-01T20:44:32.675572+00:00,,
c4e3eb8d-925a-4533-afdf-c566be42dfa5,c6c00269-dc0b-4ea6-a185-b7d1be76a094,459bf4e9-022a-4cb8-8d0d-0034646faeaf,1,0,26.25,0,0,,2026-07-02T16:46:55.734841+00:00,,
d6b933d9-98a3-4bb1-8fa8-b7c81fba10ce,c6c00269-dc0b-4ea6-a185-b7d1be76a094,4355603c-71aa-44a8-9d70-df1298b62e3b,1,0,67.109,0,0,,2026-07-02T16:46:55.734841+00:00,,
cc6f9d10-6074-4f84-a91b-32ec0f004497,9f555f50-045b-42e4-bdf8-67253ef904d8,6c0fcfbb-87ec-45de-828f-e3e21f228439,1,0,100.84,0,0,,2026-07-02T16:49:39.577107+00:00,,
2387b261-8702-4570-b632-551333f668d9,8180b05a-90bf-4803-afb8-645da915ec40,9860ee61-e090-462c-a583-322983947cf4,1,0,10.98,0,0,,2026-07-02T16:57:26.274592+00:00,,
96d8a7f5-7b3e-42d0-a93f-21e23ba0972d,9299a942-3752-44c6-b241-d17d1d339957,bdaa911d-3137-4e72-8381-4b43fb802f02,1,0,16.063,0,0,,2026-07-02T17:07:52.83236+00:00,,
f0870ab3-c043-41c3-9771-542cc2fd2095,37c8a032-f329-4695-b68b-6c3f00103508,191bd8fa-a6c2-4685-8557-e747038b1c9e,1,0,20,0,0,,2026-07-02T17:09:00.941254+00:00,,
eede425a-bcc7-4b39-b498-4e99faa31d5d,8dee9ab2-ee53-4d10-aedc-caecb646cca3,567cecef-1738-4809-ba29-2798b37c22f4,1,0,2.94,0,0,,2026-07-02T17:10:32.808917+00:00,,
3d024743-023d-4706-b9a5-4769cd3b5b94,9e166eb2-a8d4-49a9-86d0-b222c6996515,3d420d80-047f-46be-bc99-aafa4146bc12,1,0,3.967,0,0,,2026-07-02T17:31:53.267252+00:00,,
241b32a1-549f-475d-ba2a-220b5e2b6605,f11d9b17-9ac0-446f-aa13-8b9080f76419,d87bd1eb-7eee-4824-b01d-9ff3747a87d6,1,0,153.846,0,0,,2026-07-02T17:33:54.867848+00:00,,
b60cf783-7cfe-45a3-87ae-229cdf4af36f,2a877fe0-bf9a-4c6a-a830-a7a6f4bb932b,a9e1e10b-9b7c-4cea-b068-4263faab3ab6,1,0,42,0,0,,2026-07-02T17:36:01.818824+00:00,,
c44951a3-b592-41c5-a577-cdbd800366f6,d8f5e4be-3993-4f70-b493-2a7953ab8a59,f5e2a285-e6b2-4f58-8cd0-01dde3005e4b,1,0,3.03,0,0,,2026-07-02T17:52:39.368547+00:00,,
2edee195-8a1c-4e9f-a262-c9fa68aac123,d1ebb5f7-5c26-48fb-b3a2-ddcc7f4153c7,567cecef-1738-4809-ba29-2798b37c22f4,1,0,2.94,0,0,,2026-07-02T17:56:53.123088+00:00,,
ae919f7d-184b-473f-8aac-c14cced35a86,7c8b0066-6321-413f-bed2-4975822a4793,ef711c27-befe-4123-a2f0-74a3d2441c85,1,0,18.018,0,0,,2026-07-02T19:31:57.141606+00:00,,
a17029a9-3392-4c8e-b9f6-a61dcd1b17a6,655f0801-416c-45ea-9882-8080b44c0104,169a486c-0b56-4a9d-b226-ee915bfa3d46,1,0,48,0,0,,2026-07-02T23:12:06.901655+00:00,,
4822923e-55e7-4b11-8bca-85d0dda91c54,ff03d759-ce6d-49e0-a0f1-7a9488d96265,4973ee16-c4a7-413a-b8a3-1bac276ba245,1,0,16.665,0,4,,2026-07-04T13:24:05.465734+00:00,,
425afce7-20fd-45cf-b031-62f2fe61d305,ff03d759-ce6d-49e0-a0f1-7a9488d96265,066dc651-2230-446d-8013-bbce1b2f029f,1,0,31.36,0,4,,2026-07-04T13:24:05.465734+00:00,,
28363172-3b81-439f-8819-f28bf5becd01,ff03d759-ce6d-49e0-a0f1-7a9488d96265,287f70f1-658a-439b-9697-4704b65d961b,1,0,24.85,0,4,,2026-07-04T13:24:05.465734+00:00,,
