id,sale_id,product_id,quantite,prix_unitaire_ttc,remise,created_at
b25d57b3-fa8c-46eb-93bd-d8ed32b1fbf6,6bb1ff8c-2214-4d3d-a580-9b65465ae862,d5cae59a-650e-49a6-8733-4e6a7482bc8b,1,3.55,0,2026-06-14T19:25:50.150989+00:00
93d7c9a2-d93a-4102-8f81-33325a843905,6bb1ff8c-2214-4d3d-a580-9b65465ae862,3abfbffc-7a92-4c2b-831d-044e9b2ae593,1,94.629,0,2026-06-14T19:25:50.150989+00:00
25ca757a-0317-4f6d-98ee-947d234c97bd,6bb1ff8c-2214-4d3d-a580-9b65465ae862,567cecef-1738-4809-ba29-2798b37c22f4,1,4.968,0,2026-06-14T19:25:50.150989+00:00
1692c0e5-cbf6-49bd-96dd-e1f10654ea3b,6bb1ff8c-2214-4d3d-a580-9b65465ae862,6edcfcfb-eb47-4d72-9ad2-7406f575086d,1,25.347,0,2026-06-14T19:25:50.150989+00:00
b6491171-b757-4069-841c-bc8b0097efd4,6bb1ff8c-2214-4d3d-a580-9b65465ae862,c09d1a0b-8c92-4a86-9186-5f3a81d88425,1,31.665,0,2026-06-14T19:25:50.150989+00:00
2fe88491-53c3-4297-9fca-2102a8604802,7920b3c7-0a1e-4ea8-a9c1-47e68794ebd9,1eaf632a-fe9c-4213-9a3a-a7dd0ff16ddc,1,24.151,0,2026-06-14T19:31:49.107866+00:00
57e61ab1-2596-40be-9f8a-d646da1229a0,7920b3c7-0a1e-4ea8-a9c1-47e68794ebd9,8d2b842f-b06f-4f9a-967c-91d22a7ae76a,1,37.779,0,2026-06-14T19:31:49.107866+00:00
da13a7b9-ceca-421a-aa88-74f2bad3ecf4,1b33522d-4109-4fa0-9144-b75fe3118cca,0e0fca76-a1c4-497f-b586-42b83756c179,2,24.345,4.869,2026-06-15T17:49:18.000934+00:00
4d6d5f8a-d1b1-4110-be74-414268141e07,692413eb-5537-46c6-b459-5007ac8ae468,68db9e74-e015-4a43-82ea-748446df2e6f,1,21.503,2.15,2026-06-15T17:50:40.000153+00:00
b29ddafd-c6af-4ca7-af8f-92985221f3fb,a1861054-297f-4fee-a993-553616293916,9acdf1bd-bd7c-4774-953e-2c85b4035583,1,16.906,1.69,2026-06-16T14:10:34.134376+00:00
bd800261-05b9-4a87-bf88-8e7a7a1a18af,a1861054-297f-4fee-a993-553616293916,cabbd71c-d428-4f21-b8dc-6a5d0a4a428b,3,14.336,6.451,2026-06-16T14:10:34.134376+00:00
ba679e7b-4fab-4dd3-b1b7-f72fed163172,a1861054-297f-4fee-a993-553616293916,fcd4ac4f-0910-4931-8945-133035f017b1,1,105.611,10.561,2026-06-16T14:10:34.134376+00:00
78946063-604f-44f2-b410-80359a639207,98b26b80-8594-4205-8f63-894f7e1898d6,8bdb8bc2-7459-42c7-8c79-59a060754e7d,1,31.825,0,2026-06-16T14:15:08.976242+00:00
e1ba5386-a451-48dc-a722-d8387f0c45d3,96f25652-28e1-4bd9-81fd-8b3947561ec7,2b0fd4b4-ec15-4842-b368-48136d0b3219,1,56.799,0,2026-06-16T14:27:03.481259+00:00
b311bd05-2e0e-41de-83ab-faf6bb6f80c9,96f25652-28e1-4bd9-81fd-8b3947561ec7,933f65d0-0e65-477a-bee5-5b571be6570e,1,10.846,0,2026-06-16T14:27:03.481259+00:00
56db3001-128b-4c01-8577-2841ddef7534,857872ed-7f1a-40e3-a15d-9ebc3ac66813,064c5b4d-06d7-4a0c-b297-61b0db3c918e,5,36.252,18.126,2026-06-16T15:01:05.162213+00:00
35685f79-642f-4372-b86a-abf01064c7cf,61d59a51-3c6b-4e84-836f-268655bca544,14a42efd-a3c7-4523-b540-c009f3333aa1,1,38.812,0,2026-06-16T15:02:53.301917+00:00
69da81db-fd42-4e3c-9b1d-54fcc52d4910,9b64cfdc-858d-4fbf-8c08-64424a470761,bd32249e-d5ee-41d6-970f-b02bde21c453,1,39.744,0,2026-06-16T15:27:08.104072+00:00
fb36eba5-c39d-49a3-baca-780e8e4779ad,6aeea095-874c-4df4-98af-791a5db7a13d,fa42c14b-815a-4c5d-aad9-4b69faa6091e,1,92.939,9.621,2026-06-17T17:13:11.25595+00:00
eb2aec10-1e44-41f1-a47a-02f29cbf460e,c819919a-bc19-490a-a60c-050ec916fa25,053e6a58-3d2c-47f6-9f1d-ccb6da134140,1,66.794,0,2026-06-17T17:14:45.15223+00:00
bdfb7453-efef-4d8c-82ea-fe2e73d1c25f,ef7fca77-683b-4569-8f45-147d905d0254,1fac0411-4b54-4505-abe5-8f3b6e4465fd,1,120,0,2026-06-17T17:18:58.134593+00:00
